Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
Q14FE9	reviewed	RBL_POPAL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Populus alba (White poplar)	475	rbcL	43335
Q19842	reviewed	PCCA_CAEEL	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	pcca-1 F27D9.5	Caenorhabditis elegans	724	pcca-1	6239
Q19V64	reviewed	RBL_CHLAT	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Chlorokybus atmophyticus (Soil alga)	475	rbcL	3144
Q1ACK0	reviewed	RBL_CHAVU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Chara vulgaris (Common stonewort)	475	rbcL	55564
Q1KVV0	reviewed	RBL_TETOB	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)	475	rbcL	3088
Q20481	reviewed	SIR42_CAEEL	NAD-dependent protein deacylase sir-2.3 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3)	sir-2.3 F46G10.3	Caenorhabditis elegans	287	sir-2.3	6239
Q20EX7	reviewed	RBL_OLTVI	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Oltmannsiellopsis viridis (Marine flagellate) (Oltmannsiella viridis)	474	rbcL	51324
Q2J8V6	reviewed	ACCDA_FRACC	Acetyl-coenzyme A carboxylase carboxyl transferase subunits beta/alpha (ACCase subunits beta/alpha) (Acetyl-CoA carboxylase carboxyltransferase subunits beta/alpha) (EC 2.1.3.15)	accD accA accDA Francci3_2928	Frankia casuarinae (strain DSM 45818 / CECT 9043 / HFP020203 / CcI3)	618	accD	106370
Q2JIP3	reviewed	RBL_SYNJB	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL CYB_2579	Synechococcus sp. (strain JA-2-3B'a(2-13)) (Cyanobacteria bacterium Yellowstone B-Prime)	474	cbbL	321332
Q2JV67	reviewed	RBL_SYNJA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL CYA_1194	Synechococcus sp. (strain JA-3-3Ab) (Cyanobacteria bacterium Yellowstone A-Prime)	474	cbbL	321327
Q2MI91	reviewed	ACCD_SOLLC	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	490	accD	4081
Q2MIH9	reviewed	RBL_SOLBU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Solanum bulbocastanum (Wild potato)	477	rbcL	147425
Q2QMG2	reviewed	MCCA_ORYSJ	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	MCCA Os12g0605800 LOC_Os12g41250 OsJ_36794	Oryza sativa subsp. japonica (Rice)	737	MCCA	39947
Q2SX76	reviewed	ACCA1_BURTA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha 1 (ACCase subunit alpha 1) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha 1) (EC 2.1.3.15)	accA-1 BTH_I1943	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CCUG 48851 / CIP 106301 / E264)	323	accA-1	271848
Q2T4M6	reviewed	ACCA2_BURTA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha 2 (ACCase subunit alpha 2) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha 2) (EC 2.1.3.15)	accA-2 thaC BTH_II1679	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CCUG 48851 / CIP 106301 / E264)	322	accA-2	271848
Q2VEG8	reviewed	ACCD_SOLTU	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD	Solanum tuberosum (Potato)	490	accD	4113
Q31655	reviewed	RBL_AJUCH	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Ajuga chamaepitys (Yellow bugle) (Teucrium chamaepitys)	473	rbcL	49984
Q31669	reviewed	RBL_ANTHE	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Anthospermum herbaceum	468	rbcL	43444
Q31672	reviewed	RBL_ANTLU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Antirhea lucida (Palo iloron) (Stenostomum lucidum)	469	rbcL	43446
Q31674	reviewed	RBL_ANEME	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Anemia mexicana (Mexican fern)	420	rbcL	29599
Q31680	reviewed	RBL_ANGEV	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Angiopteris evecta (Mule's foot fern) (Polypodium evectum)	475	rbcL	13825
Q31715	reviewed	RBL_BERBR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Bertiera breviflora	470	rbcL	43448
Q31730	reviewed	RBL_BAURU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Bauera rubioides (Dog rose)	465	rbcL	23051
Q31738	reviewed	RBL_BREMA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Brexia madagascariensis	469	rbcL	39394
Q31750	reviewed	RBL_CALCA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Calycophyllum candidissimum (Degame lemonwood tree) (Macrocnemum candidissimum)	469	rbcL	43450
Q31795	reviewed	RBL_ANTAG	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Anthoceros angustus (Hornwort) (Anthoceros formosae)	475	rbcL	48387
Q31796	reviewed	ACCD_ANTAG	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD	Anthoceros angustus (Hornwort) (Anthoceros formosae)	313	accD	48387
Q31809	reviewed	RBL_ASPLA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Asperula laevigata (Smooth woodruff)	453	rbcL	29781
Q31827	reviewed	RBL_AESPA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Aesculus pavia (Red buckeye)	466	rbcL	43872
Q31859	reviewed	RBL_ANTVS	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Anthocercis viscosa (Sticky tailflower)	468	rbcL	33112
Q31886	reviewed	RBL_BOUTR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Bouvardia ternifolia (Firecrackerbush) (Bouvardia glaberrima)	475	rbcL	29783
Q31946	reviewed	RBL_CRUAN	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Crucianella angustifolia (Narrow-leaved crosswort)	453	rbcL	29784
Q31948	reviewed	RBL_CORAT	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cornus alternifolia (Pagoda dogwood) (Swida alternifolia)	468	rbcL	16902
Q31951	reviewed	RBL_CAPBA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Capsicum baccatum (Peruvian pepper)	468	rbcL	33114
Q31983	reviewed	RBL_CORFO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cornus florida (Flowering dogwood)	465	rbcL	4283
Q31992	reviewed	RBL_CRUGL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cruciata glabra (Slender crosswort) (Valantia glabra)	453	rbcL	29785
Q31HD6	reviewed	CSOCA_HYDCU	Carboxysome shell carbonic anhydrase (CsoSCA) (EC 4.2.1.1) (Carbonic anhydrase) (CA) (Carboxysome shell protein CsoS3)	csoS3 Tcr_0841	Hydrogenovibrio crunogenus (strain DSM 25203 / XCL-2) (Thiomicrospira crunogena)	528	csoS3	317025
Q31HD9	reviewed	RBL1B_HYDCU	Ribulose bisphosphate carboxylase large chain 2 (RuBisCO large subunit 2) (EC 4.1.1.39) (Carboxysomal form I RuBisCO large subunit)	cbbL2 Tcr_0838	Hydrogenovibrio crunogenus (strain DSM 25203 / XCL-2) (Thiomicrospira crunogena)	471	cbbL2	317025
Q31IK0	reviewed	RBL1A_HYDCU	Ribulose bisphosphate carboxylase large chain 1 (RuBisCO large subunit 1) (EC 4.1.1.39) (Non-carboxysomal form I RuBisCO large subunit)	cbbL1 Tcr_0427	Hydrogenovibrio crunogenus (strain DSM 25203 / XCL-2) (Thiomicrospira crunogena)	472	cbbL1	317025
Q31NB2	reviewed	RBS_SYNE7	Ribulose bisphosphate carboxylase small subunit (RuBisCO small subunit)	cbbS rbcS Synpcc7942_1427	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	111	cbbS	1140
Q31QW7	reviewed	CCMP_SYNE7	Carboxysome shell protein CcmP (Carbon dioxide concentrating mechanism protein CcmP)	ccmP Synpcc7942_0520	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	213	ccmP	1140
Q31RK3	reviewed	CCMK3_SYNE7	Carboxysome shell protein CcmK3 (Carbon dioxide-concentrating mechanism protein CcmK3)	ccmK3 Synpcc7942_0284	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	102	ccmK3	1140
Q32016	reviewed	RBL_MYRLA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Myriopteris lanosa (Hairy lip-fern) (Cheilanthes lanosa)	441	rbcL	40555
Q32040	reviewed	RBL_COROB	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cornus obliqua (Silky dogwood) (Cornus amomum subsp. obliqua)	465	rbcL	16904
Q32041	reviewed	RBL_COROL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cornus oblonga	465	rbcL	16905
Q32042	reviewed	RBL_COROF	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cornus officinalis (Japanese cornel)	465	rbcL	16906
Q32223	reviewed	RBL_EPHTW	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Ephedra tweediana (Vining horsetail)	465	rbcL	3390
Q32255	reviewed	RBL_GALAL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium album (White bedstraw)	453	rbcL	29787
Q32256	reviewed	RBL_GALAP	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium aparine (Catchweed bedstraw) (Cleavers)	453	rbcL	29788
Q32271	reviewed	RBL_GALCO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium corsicum	453	rbcL	29789
Q32283	reviewed	RBL_GALEL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium elongatum (Great marsh bedstraw) (Galium palustre subsp. elongatum)	453	rbcL	29791
Q32303	reviewed	RBL_GALLU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium lucidum	453	rbcL	29792
Q32344	reviewed	RBL_GALPR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium parisiense (Wall bedstraw)	453	rbcL	29796
Q32345	reviewed	RBL_GALPA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium palustre (Common marsh bedstraw) (Rubia palustris)	453	rbcL	29793
Q32360	reviewed	RBL_GALSC	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Galium scabrum	453	rbcL	29794
Q32397	reviewed	RBL_HYDFO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Hydnophytum formicarum (Ant plant)	453	rbcL	29797
Q32625	reviewed	RBL_MORRU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Morus rubra (Red mulberry)	465	rbcL	32202
Q32663	reviewed	RBL_ARGDE	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Argyrochosma delicatula (Delicate cloak fern) (Notholaena delicatula)	441	rbcL	37460
Q32668	reviewed	RBL_ARGFE	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Argyrochosma fendleri (Fendler's false cloak fern) (Notholaena fendleri)	441	rbcL	40963
Q32686	reviewed	RBL_NICPH	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Nicandra physalodes (Apple-of-Peru) (Atropa physalodes)	469	rbcL	33118
Q32699	reviewed	RBL_NOLSP	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Nolana spathulata (Chilean bell flower) (Nolana humifusa subsp. spathulata)	468	rbcL	33124
Q32701	reviewed	RBL_NOTSU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Notothixos subaureus (Golden mistletoe)	475	rbcL	36002
Q32770	reviewed	RBL_PELAN	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Pellaea andromedifolia (Coffee fern) (Pteris andromedifolia)	441	rbcL	37462
Q32890	reviewed	RBL_PELRO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Pellaea rotundifolia (Button fern) (Pteris rotundifolia)	441	rbcL	40973
Q32908	reviewed	RBL_PHUST	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Phuopsis stylosa (Caucasian crosswort) (Crucianella stylosa)	453	rbcL	35921
Q32RQ1	reviewed	RBL_ZYGCR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Zygnema circumcarinatum (Green alga)	475	rbcL	35869
Q32RY7	reviewed	RBL_STAPU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Staurastrum punctulatum (Green alga) (Cosmoastrum punctulatum)	475	rbcL	102822
Q33015	reviewed	RBL_PTEVI	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Pteris vittata (Chinese ladder brake)	440	rbcL	13821
Q33050	reviewed	RBL_RUBTI	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Rubia tinctorum (Madder)	453	rbcL	29802
Q33062	reviewed	RBL_SHEAR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Sherardia arvensis (Blue field-madder)	453	rbcL	29803
Q33101	reviewed	RBL_SOLGR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Solandra grandiflora (Chalice vine) (Swartzia grandiflora)	468	rbcL	33123
Q33162	reviewed	RBL_BARJA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Barnardia japonica (Chinese squill) (Scilla scilloides)	456	rbcL	49652
Q33245	reviewed	RBL_ULMAL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Ulmus alata (Winged elm)	465	rbcL	24736
Q33274	reviewed	RBL_VALMU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Valantia muralis (Wall valantia)	453	rbcL	29804
Q33323	reviewed	RBL_CEPOC	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cephalanthus occidentalis (Common buttonbush)	469	rbcL	43461
Q33383	reviewed	RBL_CATSP	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Catesbaea spinosa	468	rbcL	43452
Q33406	reviewed	RBL_DEPGR	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Deppea grandiflora	471	rbcL	43474
Q33438	reviewed	RBL_ERYCG	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Erythrina crista-galli (Cockspur coral tree) (Micropteryx crista-galli)	455	rbcL	49817
Q33443	reviewed	RBL_EREMA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Eremothamnus marlothianus	466	rbcL	41573
Q33528	reviewed	RBL_FLERU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Fleroya rubrostipulata (Mitragyna rubrostipulata)	469	rbcL	43495
Q33584	reviewed	RBL_LATCL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Lathraea clandestina (Purple toothwort)	477	rbcL	41911
Q33600	reviewed	RBL_LAVLA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Lavandula lanata (Lavender)	473	rbcL	39330
Q33619	reviewed	RBL_MONDI	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Monarda didyma (Scarlet bee-balm) (Oswego tea)	473	rbcL	39343
Q33C25	reviewed	ACCD_NICTO	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD	Nicotiana tomentosiformis (Tobacco)	495	accD	4098
Q33C26	reviewed	RBL_NICTO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Nicotiana tomentosiformis (Tobacco)	477	rbcL	4098
Q36610	reviewed	RBL_ONYJA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Onychium japonicum (Japanese claw fern) (Carrot fern)	414	rbcL	32172
Q36800	reviewed	RBL_STRLC	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Streptopus lanceolatus (Rose twisted stalk) (Streptopus roseus)	459	rbcL	34197
Q37192	reviewed	RBL_BARSO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Bartlettina sordida (Purple torch) (Eupatorium atrorubens)	485	rbcL	13517
Q37227	reviewed	RBL_IRIGE	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Iris germanica (Bearded iris) (German iris)	443	rbcL	34205
Q37328	reviewed	RBL_EPHSI	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Ephedra sinica (Chinese ephedra) (Ma huang)	444	rbcL	33152
Q3BAN4	reviewed	RBL_PHAAO	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Phalaenopsis aphrodite subsp. formosana (Moth orchid)	480	rbcL	308872
Q3C1J3	reviewed	ACCD_NICSY	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	495	accD	4096
Q3C1J4	reviewed	RBL_NICSY	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	477	rbcL	4096
Q3IZ91	reviewed	CCCR_CERS4	Crotonyl-CoA carboxylase/reductase (EC 1.3.1.85)	ccr RHOS4_25750 RSP_0960	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.) (Rhodobacter sphaeroides)	430	ccr	272943
Q3M674	reviewed	RBL_TRIV2	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL Ava_3907	Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis)	476	cbbL	240292
Q3ULD5	reviewed	MCCB_MOUSE	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)	Mccc2	Mus musculus (Mouse)	563	Mccc2	10090
Q3V526	reviewed	RBL_ACOCL	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Acorus calamus (Sweet flag)	480	rbcL	4465
Q3ZJ74	reviewed	RBL_TUPAK	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Tupiella akineta (Green alga) (Pseudendoclonium akinetum)	475	rbcL	160070
Q41406	reviewed	RBL2_SYMSP	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39) [Cleaved into: Ribulose bisphosphate carboxylase 1; Ribulose bisphosphate carboxylase 2; Ribulose bisphosphate carboxylase 3]	rbcL rbcA	Symbiodinium sp. (Dinoflagellate)	1501	rbcL	2950
Q42777	reviewed	MCCA_SOYBN	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	MCCA	Glycine max (Soybean) (Glycine hispida)	731	MCCA	3847
Q42813	reviewed	RBL2_LINPO	Ribulose 1,5-bisphosphate carboxylase, chloroplastic (EC 4.1.1.39)	rbcL	Lingulodinium polyedra (Dinoflagellate) (Gonyaulax polyedra)	547	rbcL	160621
Q43036	reviewed	RBL_PLUAU	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Plumbago auriculata (Cape leadwort)	475	rbcL	45172
Q44176	reviewed	RBL_SYNP2	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL SYNPCC7002_A1798	Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)	470	cbbL	32049
Q49CC1	reviewed	RBL_CUSSA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Cuscuta sandwichiana (Kauna'oa)	481	rbcL	197374
Q49KZ0	reviewed	RBL_EUCGG	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL	Eucalyptus globulus subsp. globulus (Tasmanian blue gum)	475	rbcL	71271
Q4JCJ1	reviewed	CAPPA_SULAC	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppcA Saci_0059	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	511	ppcA	330779
Q53865	reviewed	CCR_STRCU	Crotonyl-CoA reductase (EC 1.3.1.86)	ccr	Streptomyces collinus	447	ccr	42684
Q54775	reviewed	PYRG_SYNE7	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG Synpcc7942_1954	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	546	pyrG	1140
Q54J08	reviewed	ACAC_DICDI	Acetyl-CoA carboxylase (EC 6.4.1.2) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)]	accA DDB_G0288387	Dictyostelium discoideum (Social amoeba)	2282	accA	44689
Q54KE6	reviewed	MCCA_DICDI	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	mccA mccc1 DDB_G0287377	Dictyostelium discoideum (Social amoeba)	699	mccA	44689
Q54QE4	reviewed	PURCE_DICDI	Bifunctional purine synthesis protein purC/E [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]	purC/E purC purE DDB_G0283987	Dictyostelium discoideum (Social amoeba)	997	purC/E	44689
Q56259	reviewed	RBL1_THIDA	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL cbbL1 Tbd_2624	Thiobacillus denitrificans (strain ATCC 25259)	473	cbbL	292415
Q56X76	reviewed	RH39_ARATH	DEAD-box ATP-dependent RNA helicase 39 (EC 3.6.4.13)	RH39 At4g09730 F17A8.80	Arabidopsis thaliana (Mouse-ear cress)	621	RH39	3702
Q57079	reviewed	MMDA_VEIPA	Methylmalonyl-CoA decarboxylase subunit alpha (EC 7.2.4.3) (Carboxyltransferase)	mmdA CYK26_07570 DWV36_05400 FNLLGLLA_00681 GL281_04675 HMPREF1865_00706	Veillonella parvula (Staphylococcus parvulus)	509	mmdA	29466
Q58632	reviewed	RBL_METJA	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39)	rbcL MJ1235	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	425	rbcL	243232
Q59458	reviewed	RBL1A_HYDMR	Ribulose bisphosphate carboxylase large chain 1 (RuBisCO large subunit 1) (EC 4.1.1.39)	cbbL1 cbbL-1	Hydrogenovibrio marinus	472	cbbL1	28885
Q59460	reviewed	RBL1B_HYDMR	Ribulose bisphosphate carboxylase large chain 2 (RuBisCO large subunit 2) (EC 4.1.1.39)	cbbL2 cbbL-2	Hydrogenovibrio marinus	471	cbbL2	28885
Q59462	reviewed	RBL2_HYDMR	Ribulose bisphosphate carboxylase (RuBisCO) (EC 4.1.1.39)	cbbM cbbL-3	Hydrogenovibrio marinus	463	cbbM	28885
