Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Unique Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Unique Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Unique Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Unique Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Unique Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Unique Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Unique Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Unique Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Unique Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Unique Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Unique Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Unique Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Unique Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Unique Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Unique Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Unique Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Unique Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Unique Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Total Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Total Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Total Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Total Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Total Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Total Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Total Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Total Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Total Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Total Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Total Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Total Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Total Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Total Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Total Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Total Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Total Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Total Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Intensity	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Intensity	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Intensity	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Intensity	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Intensity	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Intensity	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Intensity	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Intensity	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Intensity	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Intensity	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Intensity	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Intensity	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Intensity	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Intensity	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Intensity	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Intensity	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Intensity	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Intensity	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 MaxLFQ Intensity	15538_DMP_AP2_GFP_3N_2_S1_B11_1 MaxLFQ Intensity	15539_DMP_AP2_GFP_3N_3_S1_B12_1 MaxLFQ Intensity	15537_DMP_AP2_GFP_3N_1_S1_B10_1 MaxLFQ Intensity	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 MaxLFQ Intensity	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 MaxLFQ Intensity	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 MaxLFQ Intensity	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 MaxLFQ Intensity	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 MaxLFQ Intensity	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 MaxLFQ Intensity	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 MaxLFQ Intensity	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 MaxLFQ Intensity	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 MaxLFQ Intensity	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 MaxLFQ Intensity	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 MaxLFQ Intensity	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 MaxLFQ Intensity	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 MaxLFQ Intensity	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q96PD6|MOGT1_HUMAN	Q96PD6	MOGT1_HUMAN	MOGAT1	335	Homo sapiens	1:Experimental evidence at protein level	2-acylglycerol O-acyltransferase 1 	0.9835	0.999	2	4	4	7	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	1	0	11100.885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5798.494	0.0	0.0	0.0	0.0	11665.555	0.0	18957.643	14970.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O60384|ZN861_HUMAN	O60384	ZN861_HUMAN	ZNF861P	105	Homo sapiens	1:Experimental evidence at protein level	Putative zinc finger protein 861 	0.9985	0.999	2	27	27	27	1	1	1	3	0	0	2	2	1	1	2	1	3	0	2	0	0	0	1	1	1	3	0	0	2	2	1	1	2	1	3	0	2	0	0	0	1	1	1	3	0	0	2	2	1	1	2	1	3	0	2	0	0	0	23327.785	18756.113	23435.47	20712.068	25095.844	25983.492	27591.709	26960.582	20083.52	26047.33	18730.238	20244.111	22762.266	18817.945	24127.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23975.568	20405.266	0.0	0.0	23468.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha 	1.0	0.999	14	223	0	223	7	9	8	7	8	6	8	7	15	9	12	13	11	20	12	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	8	7	8	6	8	7	15	9	12	13	11	20	12	8	8	8	366604.97	325413.44	201047.23	186740.77	225869.36	226741.83	258922.86	265386.22	285194.3	188558.88	281488.38	317466.5	477336.03	321526.16	411890.56	149727.77	170826.56	186586.78	77253.766	70347.3	63318.61	63797.72	65099.035	73121.63	69295.34	75713.62	76274.3	63809.742	68418.46	85165.38	69553.04	64824.29	91112.09	51647.46	69576.016	48009.28	
sp|Q8N146|OR8H3_HUMAN	Q8N146	OR8H3_HUMAN	OR8H3	312	Homo sapiens	1:Experimental evidence at protein level	Olfactory receptor 8H3 	1.0	0.999	9	24	24	24	0	0	0	0	0	0	0	0	0	0	0	0	13	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	4	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191263.86	165179.02	149181.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46946.04	46171.17	40317.01	0.0	0.0	0.0	
sp|Q92874|DNSL2_HUMAN	Q92874	DNSL2_HUMAN	DNASE1L2	299	Homo sapiens	1:Experimental evidence at protein level	Deoxyribonuclease-1-like 2 	1.0	0.999	7	15	15	15	1	0	0	0	0	0	0	0	0	1	0	0	4	3	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	3	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	3	5	0	0	0	80520.83	0.0	39695.305	51768.375	11622.982	50743.29	65278.83	48139.06	0.0	72572.59	29190.309	62711.71	76862.98	83482.14	88424.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24373.723	0.0	0.0	0.0	28133.998	0.0	31512.225	40106.676	52495.574	45160.86	0.0	0.0	0.0	
sp|Q9UHE5|NAT8_HUMAN	Q9UHE5	NAT8_HUMAN	NAT8	227	Homo sapiens	1:Experimental evidence at protein level	N-acetyltransferase 8 	0.9632	0.996	2	5	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	31787.664	59543.67	36346.37	34803.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50075.504	57552.17	51982.83	30714.617	0.0	48694.3	0.0	43983.887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20446.23	0.0	0.0	
sp|Q96MF2|STAC3_HUMAN	Q96MF2	STAC3_HUMAN	STAC3	364	Homo sapiens	1:Experimental evidence at protein level	SH3 and cysteine-rich domain-containing protein 3 	1.0	0.999	2	12	12	12	0	0	1	2	2	0	0	0	0	1	1	1	1	0	3	0	0	0	0	0	1	2	2	0	0	0	0	1	1	1	1	0	3	0	0	0	0	0	1	2	2	0	0	0	0	1	1	1	1	0	3	0	0	0	17291.863	18935.41	20833.088	28940.264	25996.81	19926.75	17660.469	22812.006	13905.366	27669.95	0.0	27902.547	25215.057	32107.088	26147.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18899.467	0.0	18892.99	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q8IU81|I2BP1_HUMAN	Q8IU81	I2BP1_HUMAN	IRF2BP1	584	Homo sapiens	1:Experimental evidence at protein level	Interferon regulatory factor 2-binding protein 1 	1.0	0.999	2	2	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0.0	0.0	55538.3	50258.426	58941.152	57443.426	55594.016	54532.836	42220.637	57396.586	14821.071	54690.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48703.633	0.0	0.0	0.0	0.0	54818.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q8N6Y0|USBP1_HUMAN	Q8N6Y0	USBP1_HUMAN	USHBP1	703	Homo sapiens	1:Experimental evidence at protein level	Harmonin-binding protein USHBP1 	1.0	0.999	16	251	251	251	11	12	11	5	15	12	12	13	12	14	14	14	10	8	19	11	8	7	11	12	11	5	15	12	12	13	12	14	14	14	10	8	19	11	8	7	11	12	11	5	15	12	12	13	12	14	14	14	10	8	19	11	8	7	231514.52	262468.78	177406.11	182371.55	282199.34	278306.88	318611.6	302251.34	332487.56	248225.44	314562.97	368212.88	651600.7	665102.56	461384.97	474859.88	553940.94	354173.2	121376.44	126517.67	89426.766	100778.07	126508.63	122696.02	134577.84	131940.08	137160.0	117069.16	133428.28	152098.92	160436.22	171633.83	162689.78	112248.44	115981.43	116045.23	
sp|P14625|ENPL_HUMAN	P14625	ENPL_HUMAN	HSP90B1	803	Homo sapiens	1:Experimental evidence at protein level	Endoplasmin 	1.0	0.999	7	28	28	28	0	0	0	0	2	0	2	0	2	1	2	0	3	6	0	0	0	1	0	0	0	0	2	0	2	0	2	1	2	0	3	6	0	0	0	1	0	0	0	0	2	0	2	0	2	1	2	0	3	6	0	0	0	1	1979.4822	0.0	0.0	20973.795	32399.137	11083.026	22253.244	27749.867	17982.64	20013.86	29504.578	20148.334	63783.03	132418.73	10576.906	43418.96	0.0	44056.508	0.0	0.0	0.0	15635.8	15868.094	0.0	10475.75	11997.896	11735.946	11940.763	11441.1455	6149.35	24063.133	58047.637	0.0	28467.574	0.0	45030.09	
sp|P29218|IMPA1_HUMAN	P29218	IMPA1_HUMAN	IMPA1	277	Homo sapiens	1:Experimental evidence at protein level	Inositol monophosphatase 1 	1.0	0.999	9	203	203	203	10	9	13	12	8	6	13	11	12	17	12	12	10	3	8	4	3	9	10	9	13	12	8	6	13	11	12	17	12	12	10	3	8	4	3	9	10	9	13	12	8	6	13	11	12	17	12	12	10	3	8	4	3	9	695053.7	513559.06	796035.7	619320.7	687888.25	683406.0	647293.6	623978.75	503363.22	561693.25	652656.06	574532.25	425890.12	324089.53	462523.56	275889.34	277296.2	504434.28	359751.5	310142.4	411956.97	350524.2	381539.8	369839.3	408259.12	361360.62	328947.03	355594.28	371475.78	333946.56	246430.11	209601.53	270557.66	199199.31	202661.44	269113.97	
sp|P83916|CBX1_HUMAN	P83916	CBX1_HUMAN	CBX1	185	Homo sapiens	1:Experimental evidence at protein level	Chromobox protein homolog 1 	1.0	0.999	15	143	143	143	4	5	4	2	2	4	11	6	9	13	8	11	10	2	6	2	0	4	4	5	4	2	2	4	11	6	9	13	8	11	10	2	6	2	0	4	4	5	4	2	2	4	11	6	9	13	8	11	10	2	6	2	0	4	158292.94	136933.38	114523.45	108549.86	115693.305	121057.16	179758.86	182156.38	194847.1	231237.25	180796.1	224945.08	271423.34	267092.47	93918.5	61004.477	48390.734	257159.7	40826.63	39021.406	33849.312	28893.912	32364.762	32888.84	39238.09	39460.27	48094.855	46561.523	44209.473	44893.18	42529.176	42705.125	32590.568	42202.56	37099.277	41164.973	
sp|P27930|IL1R2_HUMAN	P27930	IL1R2_HUMAN	IL1R2	398	Homo sapiens	1:Experimental evidence at protein level	Interleukin-1 receptor type 2 	1.0	0.999	3	31	31	31	2	1	3	3	2	4	1	2	1	2	1	3	1	0	0	0	0	0	2	1	3	3	2	4	1	2	1	2	1	3	1	0	0	0	0	0	2	1	3	3	2	4	1	2	1	2	1	3	1	0	0	0	0	0	37902.453	44874.047	38655.75	43563.914	45056.44	30739.865	38893.926	42661.71	25056.668	32617.3	35967.387	34739.664	28052.188	15615.749	27078.264	0.0	20049.953	16210.975	27587.812	32082.938	28370.457	31797.797	24120.656	0.0	20320.973	23136.096	0.0	23291.354	25414.46	24869.332	21105.836	0.0	20398.764	0.0	0.0	0.0	
sp|Q96ME1|FXL18_HUMAN	Q96ME1	FXL18_HUMAN	FBXL18	718	Homo sapiens	1:Experimental evidence at protein level	F-box/LRR-repeat protein 18 	1.0	0.999	6	10	10	10	0	0	0	0	1	0	0	0	0	1	0	0	6	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	2	0	0	0	0.0	0.0	0.0	0.0	21561.197	0.0	0.0	0.0	0.0	9478.71	0.0	0.0	97309.4	49638.24	88098.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51993.887	38579.684	49329.305	0.0	0.0	0.0	
sp|O00763|ACACB_HUMAN	O00763	ACACB_HUMAN	ACACB	2458	Homo sapiens	1:Experimental evidence at protein level	Acetyl-CoA carboxylase 2 	1.0	0.999	43	688	540	688	19	27	45	27	24	20	28	29	38	48	24	34	52	49	27	12	8	42	15	21	34	21	19	16	20	24	30	36	21	30	37	41	21	9	4	33	19	27	45	27	24	20	28	29	38	48	24	34	52	49	27	12	8	42	779288.6	793235.8	1107685.1	781545.94	636569.75	638185.8	614903.25	741613.7	771427.5	1062910.5	642260.25	616927.75	1478445.2	1343404.0	754809.7	484866.9	418048.25	1145744.2	114576.75	135750.08	166892.45	117914.98	107170.21	105349.82	110076.93	115944.84	133862.56	178851.47	107726.6	103400.375	201194.58	200586.03	126253.6	119254.086	106526.805	176847.97	
sp|Q2NL82|TSR1_HUMAN	Q2NL82	TSR1_HUMAN	TSR1	804	Homo sapiens	1:Experimental evidence at protein level	Pre-rRNA-processing protein TSR1 homolog 	0.9229	0.9988	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17363.29	0.0	15380.435	0.0	14825.936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3LI64|KRA61_HUMAN	Q3LI64	KRA61_HUMAN	KRTAP6-1	71	Homo sapiens	1:Experimental evidence at protein level	Keratin-associated protein 6-1 	1.0	0.999	25	756	756	756	34	24	34	31	25	21	24	27	18	19	23	21	46	47	33	28	20	50	34	24	34	31	25	21	24	27	18	19	23	21	46	47	33	28	20	50	34	24	34	31	25	21	24	27	18	19	23	21	46	47	33	28	20	50	1186088.8	980002.6	1306806.1	1145374.2	892019.3	764403.2	817037.94	781926.94	716705.3	779162.44	734438.94	679025.2	1799193.9	2474319.8	1365278.2	1039281.75	1444789.0	2330524.0	276081.6	232032.12	300551.44	257756.77	201690.56	183389.02	184008.16	192110.83	186053.0	202995.33	177030.55	163583.66	373656.6	498061.78	294536.5	290391.2	342246.16	512821.22	
sp|P08910|ABHD2_HUMAN	P08910	ABHD2_HUMAN	ABHD2	425	Homo sapiens	1:Experimental evidence at protein level	Monoacylglycerol lipase ABHD2 	1.0	0.999	9	322	218	322	12	12	16	10	14	12	13	14	17	15	11	16	15	13	14	9	13	10	8	9	12	6	10	9	8	10	12	9	8	11	10	8	11	6	10	6	12	12	16	10	14	12	13	14	17	15	11	16	15	13	14	9	13	10	450447.1	384965.97	366502.72	359293.62	439051.6	441922.94	478065.06	464226.12	490463.53	460931.4	443896.5	521642.66	448813.84	339203.4	442652.38	413537.1	484177.75	374631.78	173685.39	161455.48	151857.17	136840.94	167870.56	166686.12	179005.88	180174.98	184037.11	177065.53	169274.83	192917.19	174933.12	145120.42	157218.58	197281.75	227336.64	160347.75	
sp|Q8NBQ7|AQP11_HUMAN	Q8NBQ7	AQP11_HUMAN	AQP11	271	Homo sapiens	1:Experimental evidence at protein level	Aquaporin-11 	1.0	0.999	38	285	276	285	1	2	5	3	3	5	5	4	5	10	6	9	39	35	39	5	2	4	1	2	5	3	3	5	5	4	5	10	6	9	37	32	38	5	2	4	1	2	5	3	3	5	5	4	5	10	6	9	39	35	39	5	2	4	58027.277	58948.18	92846.305	137517.03	113581.21	137648.98	118986.29	106049.31	108450.39	154950.45	136270.81	192411.67	658137.8	731816.0	598635.44	174994.16	143851.23	192168.34	20280.062	25253.568	22891.656	26630.998	24078.178	26672.988	22340.514	25138.271	21882.766	28136.754	25821.074	28259.395	49572.727	60062.01	52132.27	29550.117	43218.47	33083.21	
sp|Q9UBM8|MGT4C_HUMAN	Q9UBM8	MGT4C_HUMAN	MGAT4C	478	Homo sapiens	1:Experimental evidence at protein level	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C 	0.7219	0.9945	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5188.4673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43196|MSH5_HUMAN	O43196	MSH5_HUMAN	MSH5	834	Homo sapiens	1:Experimental evidence at protein level	MutS protein homolog 5 	0.5965	0.9903	1	2	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	48447.91	46640.707	42109.52	29058.475	27640.486	39519.086	34457.355	0.0	0.0	0.0	0.0	0.0	0.0	35527.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5VZ46|K1614_HUMAN	Q5VZ46	K1614_HUMAN	KIAA1614	1190	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein KIAA1614 	1.0	0.9989	3	7	7	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0.0	0.0	0.0	0.0	0.0	35188.277	0.0	27224.594	30528.475	28265.463	20235.31	22485.555	0.0	0.0	0.0	19045.047	48515.836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7L8S5|OTU6A_HUMAN	Q7L8S5	OTU6A_HUMAN	OTUD6A	288	Homo sapiens	1:Experimental evidence at protein level	OTU domain-containing protein 6A 	1.0	0.999	11	30	30	50	0	0	0	0	0	0	1	0	0	0	0	0	10	7	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	7	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	13	16	0	0	0	0.0	0.0	5940.442	14003.928	0.0	0.0	7749.5854	0.0	0.0	0.0	0.0	0.0	95944.875	103397.22	102151.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24931.967	29783.768	24239.889	0.0	0.0	0.0	
sp|Q13402|MYO7A_HUMAN	Q13402	MYO7A_HUMAN	MYO7A	2215	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-VIIa 	1.0	0.999	3	45	45	45	2	2	3	2	1	2	1	1	2	3	1	1	3	3	1	4	0	4	2	2	3	2	1	2	1	1	2	3	1	1	3	3	1	4	0	4	2	2	3	2	1	2	1	1	2	3	1	1	3	3	1	4	0	4	21806.182	26829.754	22990.504	28798.54	23688.986	30121.402	25016.436	25614.287	25615.645	21538.504	22406.9	28829.836	61660.707	42846.316	28533.324	62358.39	19649.682	62400.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35789.59	0.0	0.0	40030.24	0.0	37895.832	
sp|Q01780|EXOSX_HUMAN	Q01780	EXOSX_HUMAN	EXOSC10	885	Homo sapiens	1:Experimental evidence at protein level	Exosome complex component 10 	1.0	0.999	14	5	5	190	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	5	14	7	7	4	7	7	6	5	5	4	12	13	18	2	1	10	0.0	0.0	0.0	0.0	0.0	22509.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91093.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9P202|WHRN_HUMAN	Q9P202	WHRN_HUMAN	WHRN	907	Homo sapiens	1:Experimental evidence at protein level	Whirlin 	1.0	0.999	2	33	33	33	1	0	3	1	3	1	1	2	1	3	4	1	5	0	3	0	0	0	1	0	3	1	3	1	1	2	1	3	4	1	5	0	3	0	0	0	1	0	3	1	3	1	1	2	1	3	4	1	5	0	3	0	0	0	35524.992	24601.016	51353.53	41847.836	42783.746	37863.957	30100.633	36255.918	40134.074	41321.24	42021.19	40232.062	38006.86	30114.336	34066.35	0.0	0.0	34667.715	0.0	0.0	46641.617	35445.78	35819.066	0.0	21964.336	0.0	30101.47	36866.992	43591.68	25276.62	32315.574	0.0	31664.79	0.0	0.0	0.0	
sp|Q9NY27|PP4R2_HUMAN	Q9NY27	PP4R2_HUMAN	PPP4R2	417	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 4 regulatory subunit 2 	1.0	0.999	2	28	28	28	2	0	1	0	0	2	1	1	1	1	2	1	3	0	4	0	0	1	2	0	1	0	0	2	1	1	1	1	2	1	3	0	4	0	0	1	2	0	1	0	0	2	1	1	1	1	2	1	3	0	4	0	0	1	16019.236	0.0	13893.862	15436.595	14725.705	17605.053	15720.91	15908.029	18240.07	18325.41	18339.775	18323.475	25672.264	17686.756	22442.902	17963.107	0.0	18965.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16196.934	0.0	13537.065	0.0	0.0	0.0	
