Protein.Group	Columns can be as numerous as you want and contain whatever you want.	As long as there is a "Protein.Group" -column, and sample columns that match the sample table exactly.	6136_sample1_replicate1	6135_sample1_replicate2	6137_sample1_replicate3	6127_sample2_replicate1	6128_sample2_replicate2	6129_sample2_replicate3	sample3_replicate1	sample3_replicate2	sample3_replicate3	these_samples_without_sample_group_will_not_be_loaded	sample_without_sample_group_2	sample_without_sample_group_3
O71037			3641.71	3240.21	3447.55	3202.12	2444.89	3326.87	3081.98	3229.61	3221.49	3772.35	3285.85	3117.49
A8MV81			6367.21	17719.3	20789.7	18418.7	20212.2	20435.1	21185.9	21774.5	20561.7	25999.1	21559.5	23171.2
Q9NZ32			35578.8	36620.3	30748.6	38499.6	36270.7	37156.3	39747	41383.2	39728.7	32393.4	38871.8	43429.4
Q6NUI1			16452.4	11898	12031.1	19634.7	17351.3	16326.7	15654.1	13969.2	13258.6	13620.9	18239.2	14557
Q96PQ5			2557.83	2874.97	2737.08	1521.42	1993.73	1918.65	2242.36	2192.83	2268.17	2180	1996.14	2584.48
Q8NCK3			2068.75	2408.88	2037.18	1479.89	1987.78	1228.9	2143.02	2877.04	2292.26	1859.94	1058.66	1866.65
Q86WK9			19273.5	21983.3	21040.8	27150.5	25137	25631.3	26395	28197.4	27287.5	27731.8	27070.9	26705.3
Q9NYZ3			16485.2	33921.8	33615.2	19520.1	23572.1	21591.5	19962.4	20252.4	22512	21976.1	19989.5	20245.5
Q9NQ29			7361	9921.01	8564.33	4767.84	5569.72	5146.09	5217.94	4843.74	4275.08	5015.85	5781.76	4619.92
Q9UHX1			8656.25	10234.3	9580.33	7751.3	6962.4	8214.99	8142.65	6709.13	8481.92	6437.43	5774.49	5798.42
Q9NPP4			59540.5	69893.9	62631.8	50383.6	54772.3	49977.6	54474.5	57697.5	63434.6	65681.8	67564	67470.2
Q6UXQ8			80932.6	82043.8	84175.2	47080.9	47246.6	43417.4	46473.6	48057.5	48189.2	47552.4	46491	46221.1
P27037			71185.2	70816.4	68558.1	48423.3	49201.5	46628.9	43326.5	42249.2	41536.1	44206.5	46568	46943.8
A6NI15			18382.5	21441.6	20716.8	14948.7	13646.4	14714.2	19068.5	16724.5	19032.7	19147.7	19489.2	19073.4
Q6NW40			7698.81	7124.28	6701.28	7490.17	7918.53	7786.28	6956.61	7019.66	6200.79	6491.04	6798.7	7339.04
C9JSJ3			72894.8	77770.3	70504.9	90225.6	88344.1	88946.9	96519.2	95808.1	93367.6	90670.5	95394.2	88135
O14975			12089.9	9738.67	10172.3	12254.5	12864.8	14106	15429.7	13863.6	15647.9	15203.1	14751.4	13295
Q9BZV3				2598.07	1511.66		2751.78	1969.09	2671.64	3859.15	2971.7	3669.08	4309.08	3833.22
Q9NYC9			38007.4	47492.8	55117.8	49530.3	51099.6	47488.1	54266.7	58049.8	57313.7	57454.9	59551.3	68558.4
P19474			69111.7	70077.4	68441	79889.6	78628.7	77011.1	88810.7	88794.5	88168.9	88151.9	90285.1	90051.4
P0C0P6			29245.3	32542.5	28282.9	21705.7	27429.7	25071.3	41267.5	33150.1	34072.2	36159.1	34776.2	35766.8
Q6RFH8			53788.8	53165.4	52568.8	36819.1	41501.8	45109.6	36685.5	39022.8	40323.9	35905.4	37022.7	37875.5
Q6BAA4			2076.91	2043.13	1382.27			1736.39	1477.01	1781.24	1435.16	863.642	1570.52	1257.53
P00390			23343.4	22255.1	22564.3	17072.3	18492.9	17573.4	16352.7	17411.7	16350.3	16804	17017.3	16045.2
Q5VTT2			41314	44550.7	44492.6	38384.6	37350	36834.7	31616.3	33080.2	31825	34679.5	33683.1	32684.4
P0C7M8			40569.4	47000.5	49197.5	53838.4	54986	53072.3	45576.7	41800.9	44781.1	42911.4	41678.2	38255.4
Q96CD0			13503.8	13202.8	13738	10071.7	9678.54	10382.2	6371.65	8212.59	7272.05	5360.98	4819.74	4480.24
O95838				8714.17	6762.91		6043.68	7412.34	7182.1	7142.71	8531.11	9284.05	8455.18	6736.34
A6NGR9			16433.3	13433.4	11904	10127.7	13063	12930.3	11954	11111.5	12817	9635.19	10320.2	10942.4
Q5JPE7			33806.5	32091.9	32469.5	38279.3	39246.2	37679.2	42050.8	45360.7	44379.6	40512.1	43078.3	39330.4
P19623			19309.5	18621.4	17899	14360.5	14029.3	13745.4	13171.2	13054.4	13199.6	12353.2	13474.2	12613.6
Q96RP9			21308.6	21623.7	22693.5	22274.6	25219.4	22648.8	27804	26915.8	28315.3	23086.6	20834.8	23592.8
Q96JH7			7212.28	6040.73	6997.71	7244.46	6187.58	8118.68	5742.96	6029.24	7438.34	4916.85	6840.23	6897.28
Q86VW1			2637.09	6644.64	4586.4	4593.46	5108.46	5091.22	6435.46	6857.48	7143.19	7585.74	6362.26	4645.46
Q9NUJ7				3125.66	2720.77	4246.76	1846.03	3019.72	3276.88	2602.41	2286.14	2991.23	2255.64	3351.17
O60656			27763.6	33019.3	35218.6	41217.3	37365	37969.7	40815.2	41519	41312.2	37255.9	42073.5	38804.7
O60930			2235.98	2034.8	1888.99	1533.41	1384.2	1470.37	992.19	1110.5	1325.85	1045.18	957.864	1684
Q9H3Q3				1190.11	2072.17	1637.37	1242.77	1608.56	1253.25	2070.37	1739.91	1796.5	1531.76	1370.1
Q04771			8629.78	7004.31	6954.55	6085.31	4929.71	7726.72	6653.04	7242.83	6007.81	6054.04	6783.45	6250.34
Q96MS3			21598.5	21380.2	20500.7	21653.5	22521.2	21852.3	22382.8	22762.4	22985.3	18074.6	19026	18630.2
Q92484			16786.2	15964.5	17470.4	23502.3	23937.4	26732.6	22141.9	22269.3	21299.8	18652	17793	16215.8
Q96QR8			88251.5	93586.2	87544.8	71669.1	75599.3	73887.1	67855.2	70546.6	77598.8	64991.5	69113.1	65137.8
Q96R09			207871	237898	240476	195277	204503	215471	184211	173512	179337	171543	177125	179310
Q9Y312			14977.1	11291.9	9662.85	10530	10044.9	10670.4	9586.54	7523.8	7429.22	8707.89	8611.77	5735.18
P26010			36510.7	36111.6	38655	37463	36007	38633.4	30322.2	32571.4	29775	27399.4	26880.4	28448.8
Q8NAF0			42799.4	44949.9	37927.8	34984.1	38153.4	31940.7	35362.4	40107	40688.8	40582.2	46410.4	44722.4
Q6P2P2			38762.3	35102.6	33774.1	27522.3	29534.8	32141.3	29300.9	28770.8	29739	30439.7	27607.7	26708
P78348			7024.45	18061.8	16962.8	18522	20346.8	21413.1	20949	24945.6	23223.4	21626.6	23498.1	20041.5
P24522			5558.18	7895.46	5097.08	7520.8	7068.91	5803.16	6720.82	5130.22	6295.16	5852.86	5681.12	6497.48
Q96PH6			14102.8	13128.8	13351.3	16937	15641	16551.3	15867.9	15002.1	15193.2	13429.9	12499.2	14819.6
Q9Y2F9			9852.88	9667.32	10024.9	11785.4	10807.1	11073.1	12109.7	12574.4	11058.2	11754.1	11433.8	11991.5
Q8IYU4				2187.24	2555.52	5793.87	4652.93	5045.11	4554.11	6768.76	3367.32	3823.07	3386.14	1513.3
Q9BXS6			8223.34	7192.92	7490.18	6567.23	5544.96	6920.48	5364.3	4796.64	4888.37	4296.9	4872.53	5024.45
Q9BQD7			6137.42	4525.82	4742.6	2495.36	2092.91		3425.97		5077.83	3382.07	2384.67	3678.33
P61221			23210.8	23874.3	24713.2	20709.5	20806.8	20238.9	21063.5	23911.7	21730.3	20766.6	21388.8	19282.5
O15270			308874	337212	347270	315156	290731	326547	299967	305455	309342	287046	301565	298658
Q9UJW7			4466.12	5000.12	4215.23	3838.59	4878.95	4174.94	4073.3	3995.03	4011.47	5187.27	3848.98	4645.86
A6NGH8			27607.9	28500.3	27597	27305.1	26092.3	30144	28813	29073.3	31124	32048.8	31240.1	32889.4
Q5BKX8			100803	105076	107532	82341.3	105378	89722.8	97905.4	94778.3	90039.8	99772.2	96280.5	94538.1
Q96PD2			44479.7	42249.8	45843.4	29458.5	23828.3	36076.9	31376.6	31483.2	34032.7	29386.6	31212.1	32564.5
O14957			570133	523281	486346	366114	365401	362573	322373	314661	341075	353693	324443	318761
Q9P298			10531.8	11686.6	10057.6	9310.79	7982.58	9355.25	8382.79	11703.8	8622.34	8813.93	9593.14	9319.77
Q9NVK5			818.102				1347.69	585.921	1118.39		445.434	760.185		1446.03
Q9HCX3			108334	110968	106164	74489.8	74327.8	73841.6	73406.2	74684.2	67861.8	75785.6	70355.1	72170.2
Q8N3C0														
O60701			25526	27681.3	29431.3	30837.7	30983.3	32041.7	37731.4	36733.7	37195	37341.4	37042.1	36323.7
Q9NZ42			17929.1	18821.7	17978.4	20068	19525.7	20522.9	23951	23200.5	22313.6	23181.3	23763.6	22241.7
Q6ZMD2			3781.07	4053.99	5381	4027.43	5182.51	5075.17	4390.63	4944.63	5880.66	4792.59	5135.62	4944.38
Q5TZJ5			38702.5	41719	37933.2	47054.3	46841.5	48913.5	44954.9	41535.2	48284	46335.6	43683.7	49249.1
Q9H6Y7			6493.8	13499.4	12470.7	11355.6	10471.3	12915.7	12580.6	10479.3	12754.7	7478.68	8178.26	8259.28
Q6ZMI3			16176.9	17932.3	18388	18976.1	19623.1	18197.7	22543.6	22914.4	23101.7	25152.1	27392.3	26705.5
Q9BT56			265795	262254	271855	186649	201354	204592	182187	175311	173915	172858	161918	164081
Q96LK8						764.569				1039.04				
O95760			8227.4	8817.88	10082.4	10801.6	9788.74	8867.6	9933.5	10010.2	12621.9	9225.29	11369.1	10869.5
Q96BD0			16357.1	15034.6	15570.9	15856.3	15917.3	18570	15918.2	15105.5	17008.9	16281.6	16476.6	16926.6
Q96BT1			6327.56	8064.99	6658.56	6952.78	8313.36	5200.1	6696.01	5047.2	5995.38	6089.83	7320.02	6564.9
Q86SH2			6686.23	8297.96	10818.1	3159.96	3811.77	3096.81	6714.7	3748.25	3336.99	5508.7	8017.69	5006.96
Q5VYK3			24944.7	22875.6	23409.5	24221.5	24874	24615.2	25372.6	26610.9	25503.2	25155.2	26032.4	25769.8
Q96FV2			7300.68	8148.37	8153.37	9840.67	10448.1	10648.8	8911.34	8998.78	9594.17	9941.53	8910.89	9954.7
P0CJ77			32530.8	34963.6	34899.3	37149.5	35613.5	36992	37844.8	42129.3	37581	36448.5	39026.4	38205.5
O00124			31060.4	35561.7	30274.8	28698.1	26297	25841.9	31061.3	26892.5	29911	31962.4	35510.4	29693.6
Q96PT3			7095.9	8258.91	7911.81	8313.9	7371.73	8597.33	9662.89	9941.7	10355.5	10103.9	10668.5	8848.75
Q6N075			12248.1	14090.8	14896.5	14126.6	9312.2	12042.1	13461.1	12617.7	13451.6	12068	14862.2	14174.2
A2VCK2			7141.56	8141.4	7280.66	8920.67	9070.86	10242.2	9050.81	8270.7	6557.48	7098.27	7149.6	7719.2
Q5M7Z0			328120	321816	314393	285703	286150	289779	318882	337202	320187	314017	311947	313598
Q01629			36744.4	48986.6	42914.7	38473.3	66123	73357.6	42012.2	42038	40026.7	19325	22801.6	36664
O00258			214892	232079	243102	218617	222894	213022	227512	221683	225250	218137	221067	248737
Q86T82			15835	15823.4	14731.7	9095.05	7765.61	8190.79	14697.6	15884.5	14004.4	4286.01	4007.69	4399.6
Q0GE19			7539.14	6882.8	6550.23	5678	5791.75	5948.67	7381.44	8100.92	7767.4	3239.71	2960.67	3231.11
Q13107			54760.2	64691.4	60071.4	36862.6	41333.3	37600.5	40850.7	38209.9	38384.6	41485.1	39379.6	39426.6
P0DMP2			41331	42001.1	37229.7	22122.6	25256.4	25763	32779	28738.2	25352.1	28678.8	28343.7	32001.2
P18846			18488.5	19340.4	16295.6	22214	20895	21347.6	23381.5	21873.6	23482.3	23630.5	24055.4	22410.1
P81274			8815.33	8036.75	8589.69	9302.83	8832.46	9619.07	9095.24	8456.83	9057.37	9365.37	9483.32	8950.8
P40933			12796.8	8814.22	7733.7	18105.6	15845.2	21542.5	10313.6	8212.37	8303.07	5432.29	4362.5	4259.05
Q86UU9			45733	47338.7	46309.8	53924.1	55281	51164.9	61951.3	64733	65879.6	66157.4	67026.5	67984.6
Q14397			1582.78	8535.36	1669.9	636.79	8962.32	10559.2	14012.3	14254.6	10634.7	9483.2	13948.7	16778.8
Q8NGT5			103538	117251	107712	87868.4	85999.9	85444.4	88506.8	79075.6	79276.5	85664.6	81928	87207.6
P56192			55369.6	45220	36065.1	44723.5	42851.3	42884.5	34569.8	25945.5	23795.3	19707.4	15533.9	21347.5
O60241			103576	114475	110346	130549	130674	136313	123526	125399	121004	128092	121490	121413
P23025			124307	131342	111674	111822	119234	129626	117083	134097	122213	122735	130574	126784
Q9UBS0			5739.05	6581.22	7765.29	3711.72	4684.64	5476.7	6858.48	5230.25	5986.14	5520.34	4772.34	5116.97
Q86SQ7			89443.9	81734.9	73905.8	66305.7	64348.5	62698.9	59418.2	59701.7	58621.8	59760.6	59712.4	60483.9
Q9NWH7			37350.1	34943.4	35349.9	25300.5	23489.6	24385.3	27169.9	24367.1	23247.8	28663.4	26164.4	31856.3
O43427			109750	110104	115226	107513	103992	109549	94163.4	95687.2	89226.6	90917.5	84637.3	84130.8
Q9NVA4			5902.63	5869.56	5444.06	4778.26	4843.64	4297.32	4319.06	5410.03	4071.85	5248	4625.02	4003.42
Q8NHR7			73205.9	77933.3	77624.4	74881.7	69963.5	76173.9	79566.4	84377.3	85172.1	84605.1	87004.7	88466.9
P57679			6977.45	8854.54	8281.96	6166.34	7902.06	9102.1	8448.22	8482.25	9071.24	9409.67	8150.87	9614.7
Q14168			18750.8	19876.9	21699.5	21966.9	23043.2	21663	20095.3	19948.4	19848.9	19156.8	19685.7	19281.5
Q86UQ0					5202.47	9287.01			6119.45	7820.42	7291.73	6240.21		5932.07
Q969F9			2758.62	1607.43	2365.61	1498.06	1803.76		2060.91	1450.9	1806.44	2829.05	1985.73	1821.91
Q86T65			12525.6	11306.8	9525.33	9423.4	10727.9	12132.4	6630.1	7066.85	6918.03	7722.22	6617.23	6706.11
Q9NRM0			6877	6925.23	7433.22	7326.69	7350.78	6274.62	5668.26	5544.17	5366.33	5930.57	5563.19	5567.29
Q8TF27			5768.23	11455.7	13575.7	15434.9	12986.6	10470.6	9203.24	14353.1	13330.3	9029.35	10887.1	10528.8
O60513			145130	146015	157335	110428	108301	114785	113330	113284	110933	113580	105550	107935
Q8N6C8				5371.76	6233.98	7134.69	6474.42	6497.12	4725.46	4052.64	5170.45	5177.68	4178.23	4577.1
Q32MK0			7814.94	7848.09	7907.44	7510.33	8511.5	8375.77	6524.05	6675.28	6615.79	7667.79	7148.07	6881.84
O15499			45412.2	49295.9	47987.7	45751.9	43716.4	43219.8	38656.2	39344.6	34850.3	26249.6	25305.1	21346.7
Q9Y343			373944	448773	595878	761913	755650	789012	656047	703691	682810	484397	501970	532289
Q02505			104824	236023	221968	161762	211494	228490	206435	207358	200431	183578	201001	183821
P62256			17862.4	21236.8	20993.1	13365	16944.4	17599.7	19300.4	17603.8	19979.5	23975.3	23653.1	21879
Q9NWV4			12970.7	13476.4	11385.2	13907.9	15380.2	14884.1	10354.3	11245.5	9682.19	9557.15	10486.7	9938.69
Q99650			2290.99	1965.99	2035.35	2864.08	2006.88	1916.11	2310.58	2542.84	2193.87	2939.74	3299.48	2960.64
Q96BT7			15470.5	16443	14557.9	11807.7	12982.7	11998.7	12627.8	11847.3	12576.1	12155.7	12692.6	11701.6
P0DP72			52312	48515.2	49540.2	43839.8	51837.5	55847.5	34261.6	34267.8	36571.5	33915.5	32745	29389.1
Q9BSH5			8039.69	10434.5	8125.1	2537.78	2555.17	3201.08	3782.56	3927.28	4280.87	9188.18	9123.1	11496.9
P85037			93277.1	105533	102143	70187.6	75866.5	78773.3	67576.9	69613.5	73293	65311	71560.5	73745.6
A0A0K2S4Q6			17752.5	18455.2	17446.6	11698.2	11851.4	13670.5	3240.38	3803.84	3920.5	2863.97	2235.82	2965.56
P35368			651225	692539	670390	515972	527247	518000	464402	491382	496928	544369	550209	561952
Q96EX3			202297	180972	192740	132835	144097	144593	132588	149932	159639	177784	166691	171830
Q6P6B1					957.332	861.534	1129.43	619.081		1314.85	518.3			
Q96F46			49424.1	51861.5	57694.6	45046	50135.1	47009.5	42551	41502.9	41507.7	40906	40992.6	41042.1
Q9H920				1660.94	2383.83		1414.79			1420.47			1562.85	1632.04
P12525			19745.2	15271.1	21462.2	17065.5	14741.9	24446.4	20461.9	18834.5	19687.4	15359.9	16040.7	17740.2
P35613											2079.05			
P60022			19257.5	17897.6	19216.1	17869.6	19188.6	19112.4	19962.9	19489.7	20733.2	18993.4	18891	21151.8
Q9BXB1			11351.7	10351	9412.26	7531.98	7705.85	7977.91	8099.81	8459.71	7265.91	5138.39	4968.67	5349.08
Q15700			35426.3	39101.9	40471.2	25985.5	22614.8	24649.4	23858.3	25998.7	27765.2	27105.8	27710.6	30419.3
A8MUV8			41224.5	35873.1	40778.8	41036.4	41613.5	37434.2	45259.7	44259.1	43399.2	49131.1	43993.8	37327.3
Q9H172			73180	78351.6	76526.8	51080.7	51275.6	55185.4	50425	51124.9	50163.8	55228.6	56635.6	58863.5
P55089			41717.8	53005.6	43619.9	58390.3	60923.9	58917.4	55701.8	66494.3	58598.3	55539.9	60176.9	61625
Q93070			16581.5	17740.4	15374.6	16298.8	16161	18177	18599.1	20483.2	21096.5	18605.6	20751.7	20814
O43678			6032.87	5126.8	4897.38	5559.04	5936.43	6636.68	6677.08	6361.78	5852.95	6237.88	5955.35	5487.66
Q86VW0				847.385				1176.09	1889.11	1439.58	1338.89	2472.5	2677.72	2434.8
P0DMU3			1059.83	1986.06	988.089	2908.24	1826.18	2965.98	1522.32	1674.25	1062.94	1263.67	719.034	2172.44
Q8N6K7			592430	560849	549830	303986	329968	341616	337278	343815	357924	295556	310199	367733
Q8WYP5			45701.5	46295.3	46253.8	48151.4	39187.8	41552	42024.4	44824	42544.6	45778.2	42051.6	46714
O00591			58243	59691.4	60877.3	45156.5	56530.8	51190.4	65219	55875.8	56990	60992.3	60413.6	63464.5
Q9HCS4			65293.9	55400.9	53387.7	42023.4	38576.8	42449.6	32589.7	35409	31428.5	35302.2	37688.2	32282.2
Q8IUL8			50632.9	57211.2	54819.5	49002.4	50009.6	47393.9	68113.1	60782.8	67278.2	74433.4	70107.7	73538.6
Q96M43			47906.3	45836.1	46086.7	37043.6	33178.8	38444.5	35590.4	37945.9	36883.5	37305.4	37067.8	36152.1
P0DJR0			13351.3	16665.3	15383.2	16270	16503	17199.7	16919.7	16330.4	19009.2	17554.7	17614.7	18746
Q96L92			11611						5346.42	7438.71			5831.07	6579.23
Q2TAL6			12247.8	13069.2	14864.8	13959.7	13760.9	12865.3	13098.9	11623.5	10776.3	12534.6	11113.6	10278.3
Q86YB8			60765.3	56478.1	57163.8	57797.6	55214.1	62615.4	57671.5	56293.8	59470.5	58169.6	59981.1	56578
Q96LT6			30140.9	31081	30873.7	33133.6	36178.3	37722.8	35523.9	35793.2	36869.6	37496.1	36795.5	35591.2
P12829			14242.3	11205.3	13109.4	15746.1	14426.9	15445.1	14554.8	16157.8	12958.3	15051.4	15335.8	16206.5
Q6UWN5			6813.93	7111.49	6915.78	5709.02	6759.41	5799.55	6187.42	6041.93	5676.6	6150.59	6835.07	6762.45
Q6ZP29			118561	126609	127383	75181.7	75060.9	73000.9	74827.8	69774.1	80986.2	82343.6	78393.1	79367.9
O75874			55431.1	53223.4	59099.9	49247	50542.2	55089.9	52694.2	58247.9	54726.1	57699.8	58033.8	58176
Q07866			1.42E+06	1.71E+06	1.54E+06	1.06E+06	1.20E+06	1.14E+06	1.06E+06	1.12E+06	1.13E+06	1.07E+06	1.15E+06	1.12E+06
P15941			14143.8	15054.4	14929.3	18506.1	16616.1	17835.4	14672	14882.8	16185.4	15342.3	14359.2	15305.2
Q6ZR37			15590.7	14905.4	16115.7	18275.9	20681	18593.8	17792.3	19228	19647.9	20544.4	20886.6	19066
P42704			3218.59	4403.79	4484.17	5892.5	4236.37	5675.97	3059.81	4642.08	5117.29	3714.9	4056.81	3928.94
Q13002			3120.59			6102.22		4360.39						
Q96PX8			2755.52		1315.33	2807.57	1817.35	1998.76	2039.11	1157.9	2121.75	1476.07	2269.81	2561.17
Q8WWF6			24979.5	26820.2	25617.1	23391.4	22103.5	25326.3	26108.6	25691.5	25039.9	26247.6	25126.7	25453.9
P49901			270854						312126	250134	225345	250381	277298	199876
Q9NTN3			14985			7294.45	11126.3		12651.5	11195.5	12894.5	11886	11746.3	12358.8
P09668			12001	16833.3	14566	12921.6	12521.1	16475.7	15515.2	16133.7	12839.1	13542.8	13894.5	12685.3
Q8NEP3			11653	17452.2	16229.3	16195.7	19308.3	10072.8	19953.1	17054.6	14182.5	16046.8	13516.9	12667.6
O60356			104011	102623	98235.8	95082.7	94704.2	87521.6	67941	71289.5	81855.3	69604.4	81139.4	72234.9
Q9H1Z8			20399.7	19630.2	22879.5	20208.1	25357.8	26507.2	31913.7	28095.5	31829.8	30966.9	28092.7	25958
Q96EL1			52584.6	46500.5	52721.5	50870.8	43753.2	47880	45084.3	42618.5	40467.6	43266.6	39156.8	41568.9
Q6ZVK8			54538.3	47157.6	45532.6	93688	68340.8	78663.8	47743.8	52556.9	39319.7	36346.5	35460.9	29977.4
A1A519			59084.4	52856	47444	55845.2	62806.6	57068.2	60008.8	62485.3	61027.8	67199.9	63015.3	58303.7
P63133			80333.3	88147.1	97328.1	159264	148457	135923	109914	102018	114727	111596	129053	79074.3
A6NKT7			59824	59368		105568								
Q9ULZ2			16966.4	19192.9	20473.1	21669.3	22940.7	21081.7	21329.6	21497.7	22161.7	20153.5	22411.5	21158.4
P56597			14253.3	12704.2	13463.7	14933.1	13790.7	13721.5	15389.9	16144.6	14757.2	17654.9	13947.4	15523.3
Q14657			11249.2	11679.2	11961	10543.8	10323	10585.3	11392.7	11200	11091.7	10104	10135.2	10979.7
P61570			28911.3	19142	22320.5	26231	25532	27165.5	27620.2	25560.6	27286.4	25022.7	23514.2	19383.6
P59942			44256.5	53988.1	50307.7	39071.2	40284.6	44888.2	45929.3	46901	45795.5	45927	48937.7	45212
Q08945			11717.8	9421.55	10908.2	12224.4	11702.9	12111.4	12988.5	12733.1	12973.3	11461.8	11114.3	9521.5
O94854			4143.66	4968.99	4378.11	5955.58	5266.59	7148.48	5872.7	5136.16	4060.24	5174.25	5904.49	4608.45
Q9UKJ1			46377.7	41499.8	38732.3	59619	57682.5	57009.9	50646.3	46692.7	44841.5	47234.1	50552.9	42742
P59539			12116.9	13043.8	13055.9	14176.4	14463.6	13746.5	15519.6	15280.2	16306.6	14830.2	16660.1	16417.8
Q71SY5				2584.15	1954.14	2840.13	2103.22	3030.95	3292.74	3200.26	2719.3	3955.87	4195.26	3118.43
Q587J7			31517.5	32382.6	32583.2	36002.2	32410.6	33677.6	39420.4	40637.5	39741.2	41955.7	37643.9	39139.8
P13612			328358	325816	329052	281916	270381	275251	264913	278648	271086	284727	276079	257472
P43243			27956.5	26779.4	26939.1	24595.3	25424.9	27854.4	26164.4	27919.8	25065.4	24231.4	25989.7	25183.7
Q9NQ39			22080.6	18831.3	19821.9	20776.4	20643.6	21772.4	18730.1	18633.8	19614.7	17971	19936.2	16779.5
Q6B0B8			8607.34	11649.8	10322.5	8069.02	10018.4	9164.64	11505.6	9951.71	10097.3	11063.5	9356.23	11615.3
Q92989			138118	172563	161521	158015	181841	165442	179523	179362	172428	178462	185346	173495
Q8NBL1			23616	26079.6	25652.2	28608.9	30123.7	27735.8	33500.1	35217.4	35677.1	37776.7	36459.3	37399.4
Q02487			22370.1	21321.5	23971.2	31388.7	33167.8	33587	31893.9	28800.6	24703	29588.1	26831.7	17970.7
Q16829			162553	170281	172863	134368	136242	130670	125265	130562	113122	116186	124504	137392
P09093			62504.2	40441	36240.1	69384.2	78554.6	67340.7	84633.7	76158	76084.3	79489.7	70587.2	49215.6
P31943			141047	138922	143861	188870	181826	189197	231885	215957	209122	234664	222293	238859
Q8IXF0			120840	135127	133527	130683	137568	152140	178540	166357	191688	193936	195343	188269
Q96P56			5901.3	5069.76	6378.49	6651.6	7438.95	7571.14	7625.91	7482.06	7031.19	6511	7009.78	7389.06
Q8NDI1			6970.9	6695.33	6245.8	5451.91	5412.84	4625.06	4211.96	5785.75	5109.07	4689.86	4984.7	4779.41
P0DSO3			5335.4	6203.86	6372.18	7832.37	6469.99	7732.82	6505.8	5998.8	6345.08	5828.14	5538.8	6056
Q6ZMZ0			38504.3	36543	39642.2	42012.8	39566.3	39806.2	37925.4	35963.4	34200.3	27438.8	25815.3	31769.2
P0DP91			47874.5	51002.9	49728.8	42969.6	43166	43885	45885.9	45175.6	49718.4	43412.1	44127.1	41383.6
Q92681			41644.4	32566.3	39535.3	60639.3	59838.2	57586.2	62639.8	63302.2	49489.8	47280.2	47903.2	48788.7
P31930			6576.92	7756.58	6810.97	5523.25	5603	6375.69	6176.39	6723.22	7377.94	5902	5798.1	7721.04
P0C7N1			99713.7	87912.9	93730.5	188722	220111	194219	130274	74474.6	93978.4	149437	44660.4	21556
Q53HC0			25606.5	24187.3	23914.5	16992.8	18764.7	17608.8	15486	15215.3	16521.5	17084.2	16661.5	15908
P50222			119429	114437	108900	116112	127456	138762	150154	143173	136052	151690	153883	139762
O15516			21976.7	20804.7	20984	12880.1	15533.4	15115.4	14732.9	15588.9	14829.8	15467.6	14383.5	17144.2
Q6P3S1			24445	25831.5	24423.8	16448.7	18690	17819.9	15211.2	15977.4	17399.2	21283.1	17099.1	19790.1
Q96AG4			11086.9	11284.5	11607.3	12196	12857.6	13514.5	13214.2	12174.1	14068.3	13388.2	12274.9	12089
Q9BWM5			43726.6	44397.4	40845.6	30872.9	33644.5	32626.1	40210.4	41164.3	47596.7	15615.8	14894.4	15306.8
Q9NZN1			20023.4	21754.6	21226.9	20252.7	21809.5	18893.5	17986.9	19595.4	18541.8	19033.6	19577.1	22758.9
O60248			7739.29	9910.09	11028.9	10364.4	9536.28	8892.19	10073	10827.1	9561.12	11030.3	11133.3	11716.3
Q96FE5			366035	356747	363269	263107	258239	272633	238414	239608	244914	237169	233223	238899
Q86UD4			283809	296291	291844	327034	319338	308145	325768	325718	320390	347269	346404	346785
Q8TAU0			29580.7	23627.8	16697.9	36025.1	34344.8	32583.5	18301.5	16882.5	18526.3	18972.5	32177.4	26591.1
Q8TCT1			524480	535962	569810	631835	611975	633207	625006	626896	553161	636627	613761	559793
Q7RTY9			39598.3	48591.4	40256.6	40961.3	43140.8	46653.9	48839	47866.3	47985.7	47714.9	52029.6	56996.5
P0CG21			11386.1	12504.1	11143.1	15240.8	15993.3	14046.5	13973.1	14462.3	13466.6	13552.5	13588.6	13405.3
Q9HBZ2			50551.4	51128.8	45301.6	58816.5	65896	67536.8	69047.4	66722.9	63418.7	67285.2	70854.7	63750.4
Q8N2X6			8532.42	6681.24	7174.17	5436.35	5412.79	4941.35	5743.16	5646.35	5602.86	4604.94	4226.89	4868.19
Q86Y79			2568.14	3521.98	3397.51	3140.61	3268.23	3724.63	3402.49	3650.04	3532.06	3285.87	3294.95	2877.02
Q08379			18839.9	20881	19556	14505	14692.8	14951	14519.9	14297.7	14649.2	12788.6	13368.6	13665.4
P61513			15016.1	14269.2	13419.8	15981.1	16199.2	16635.7	17699.9	16317	16699.2	17176.7	21537.5	20120.8
Q8ND76			158745	154157	152570	147617	150166	151558	142683	140320	137168	144003	148550	150702
Q9BSD3			191922	196616	188690	126721	129238	137231	129453	133772	133678	125497	127998	139909
Q0D2J5			3009.14	2415.23	6140.58	2073.89	4545.25	2878.89	3706.88	3787.92	5259.32	5269.03	4521.95	4920.23
O00161			1465.69	2275.58		3447.37	3358.92	3264.58	3562.95	3381.55	2664.76	4173.8	2184.95	3338.33
O94889			18709	23543.9	23039.5	22857.2	24680.1	25769	23051.9	23881.5	24948.5	24572.8	22975.6	23223.6
